idx,loc,MAC,East,North
0,penn,0x680A,0,0,2.057076320127741
1,penn,0x6843,-6.957994192102367,6.937585230431794,1.0699519419342751
2,penn,0x685A,-9.666944320674519,9.46632149975476,1.0584338467646317
3,penn,0x6859,-16.20715403463636,15.124946312484093,1.0768917475791753
4,penn,0x6870,-23.700366550654884,20.13955687570101,1.1651307180998902
5,penn,0x6872,-21.420749460693273,22.674154582084473,1.31762621358809
6,penn,0x6839,-4.9934323135565,8.815756644632678,1.062451837109625
7,penn,0x683D,2.3508370660298654,2.5147043727960483,1.0419989227180813
0,warren_st,0x6852,-1470.025063382538,836.9231546295199,28.906718403148943
1,warren_st,0x6849,-1476.2387779445837,828.8887528694972,28.826373417384275
2,warren_st,0x6833,-1477.9242129642635,819.0609448268565,28.66979401375397
3,warren_st,0x6822,-1484.1275074235614,809.8409363642727,29.05081268378393
4,warren_st,0x6818,-1486.2131025745637,798.8076521546288,29.083006332569028